subject,summary,press,wdate,link
“6만전자 간다” vs “모든 악재는 충분히 반영”…삼성전자 보는 증권가 엇갈린 시선,코스피 대장주 삼성전자의 주가 향방을 두고 증권가도 좀처럼 갈피를 잡지 못하는 모습이다. 삼성전자의 주가가 최근 크게 하락한 상황이지만.. 매일경제 | 2025-01-29 22:07:08,매일경제,2025-01-29 22:07:08,https://n.news.naver.com/mnews/article/009/0005435793
젊은 입맛 사로잡은 '우리쌀' 막걸리…역대 최소 쌀 소비 구원투수,"매년 쌀 소비는 계속 줄어 지난해에도 역대 최저를 기록했죠. 남아도는 쌀 때문에 정부와 농가 모두 고민이 깊은데, 쌀로 만든 막걸리가 .. MBN | 2025-01-29 19:41:06",MBN,2025-01-29 19:41:06,https://n.news.naver.com/mnews/article/057/0001869087
"""안내방송 못 들어""…에어부산 ""긴박한 순간, 절차 따랐다""","다행히 대형 참사는 막았지만, 당시 기내 승무원들의 대처는 논란이 되고 있습니다. 대피하라는 방송도 없었고 연기가 나온 직후엔 착석하라.. MBN | 2025-01-29 19:16:15",MBN,2025-01-29 19:16:15,https://n.news.naver.com/mnews/article/057/0001869076
"""공포로 쌀 때 사둬라""…'AI 타임라인' 빨라진다",중국 인공지능(AI) 스타트업 딥시크(DeepSeek)의 등장으로 AI 슈퍼 사이클(Super Cycle)이 더욱 빨라질 것이란 전망이.. 한국경제TV | 2025-01-29 17:47:55,한국경제TV,2025-01-29 17:47:55,https://n.news.naver.com/mnews/article/215/0001196769
한화그룹 아워홈 인수 이유는? “年 64조원 식자재 유통시장 노린다”,"김승연 회장 3남 김동선 부사장 한화계열사 통해 아워홈 인수시도 식자재 유통, 영세 도매상 위주 자본투입 통한 실적 개선 가능 한화그룹.. 매일경제 | 2025-01-29 17:21:09",매일경제,2025-01-29 17:21:09,https://n.news.naver.com/mnews/article/009/0005435737
"아티스트유나이티드, 퍼플렉시티와 협력…AI 신사업 본격화",최근 아티스트컴퍼니와 합병을 완료한 아티스트유나이티드가 인공지능(AI) 신사업 진출에 나선다. 29일 엔터업계에 따르면 아티스트유나이티.. 뉴시스 | 2025-01-29 17:00:00,뉴시스,2025-01-29 17:00:00,https://n.news.naver.com/mnews/article/003/0013038677
코스피 끌어 올린 연기금…외국인과 함께 담은 종목 보니 [한경우의 케이스스터디],새해 들어 코스피 지수가 반등하며 2500선을 회복했다. 일등 공신은 연기금이다. 국민연금으로 대표되는 연기금이 유가증권시장에서 주식을.. 한국경제 | 2025-01-29 16:04:15,한국경제,2025-01-29 16:04:15,https://n.news.naver.com/mnews/article/015/0005087433
더플라자호텔·한화빌딩 등 리모델링 '박차'…어떻게 바뀌나,"이 기사는 2025년01월29일 13시00분에 마켓인 프리미엄 콘텐츠로 선공개 되었습니다. 한화생명보험, 한화호텔앤드리조트가 더플라자호.. 이데일리 | 2025-01-29 15:00:15",이데일리,2025-01-29 15:00:15,https://n.news.naver.com/mnews/article/018/0005933195
서학개미 아빠가 세뱃돈 대신 사주는 종목은,서학개미(해외주식에 투자하는 국내 개인투자자)가 연초 가장 많은 관심 보인 종목은 ‘테슬라’ 인 것으로 나타났다. 부모가 미성년 자녀에.. 이코노미스트 | 2025-01-29 14:01:08,이코노미스트,2025-01-29 14:01:08,https://n.news.naver.com/mnews/article/243/0000071961
“이참에 가입해 볼까”...‘트럼프 당선’에 ‘가상자산 거래소’ 호황,도널드 트럼프 미국 대통령 취임 이후 국내 5대 가상자산 거래소(업비트·빗썸·코인원·스트리미·코빗) 신규 가입자가 크게 늘어난 것으로 .. 이코노미스트 | 2025-01-29 13:07:08,이코노미스트,2025-01-29 13:07:08,https://n.news.naver.com/mnews/article/243/0000071959
