순번,업종명,업소명,지번주소,도로명주소,행정동명,전화번호,데이터기준일자
1,제과점영업,하레하레,대전광역시 서구 둔산동 1509 크로바아파트 ,"대전광역시 서구 둔산로 155, 제상가동 1,2층 (둔산동, 크로바아파트)",둔산1동,042 -483 -1595,2024-10-25
2,제과점영업,새로나제과,대전광역시 서구 변동 47-1 ,대전광역시 서구 변동로 66 (변동),변동,,2024-10-25
3,제과점영업,동원제과,대전광역시 서구 도마동 134-1 (1층) ,"대전광역시 서구 도화공원길 28 (도마동,(1층))",도마1동,,2024-10-25
4,제과점영업,파리바게뜨 도마점,대전광역시 서구 도마동 211 경남@상가 1층 5호 ,"대전광역시 서구 배재로 155-7 (도마동,경남@상가 1층 5호)",도마2동,,2024-10-25
5,제과점영업,파리바게뜨갈마점,대전광역시 서구 갈마동 386-11 ,"대전광역시 서구 신갈마로127번길 2, 1층 (갈마동)",갈마1동,,2024-10-25
6,제과점영업,내가잘가는빵집,대전광역시 서구 갈마동 377-5 ,대전광역시 서구 신갈마로 153 (갈마동),갈마1동,,2024-10-25
7,제과점영업,파리바게뜨둔산점,대전광역시 서구 둔산동 1388 ,대전광역시 서구 둔산북로 160 (둔산동),둔산1동,,2024-10-25
8,제과점영업,당신을위한빵집,대전광역시 서구 월평동 218 주공아파트 ,"대전광역시 서구 월평북로 11, 1층 주공1단지상가 104호 (월평동, 주공아파트)",월평2동,,2024-10-25
9,제과점영업,뚜레쥬르대전내동롯데점,"대전광역시 서구 내동 220 롯데@상가 105,106 ","대전광역시 서구 신갈마로 46 (내동,롯데@상가 105,106)",내동,,2024-10-25
10,제과점영업,파리바게뜨황실점,대전광역시 서구 월평동 302 황실상가 114호 ,"대전광역시 서구 청사로 65 (월평동,황실상가 114호)",월평3동,,2024-10-25
11,제과점영업,파리바게뜨정림점,대전광역시 서구 정림동 592-1 1층 ,"대전광역시 서구 정림로 62 (정림동,1층)",도마2동,,2024-10-25
12,제과점영업,트레이더스베이커리월평점,대전광역시 서구 월평동 510 지하1층 ,"대전광역시 서구 한밭대로 580, 지하1층 (월평동)",월평1동,,2024-10-25
13,제과점영업,파리바게뜨황실점2,대전광역시 서구 월평동 302 황실타운 ,"대전광역시 서구 청사로 65, 황실타운상가 1층 101호 (월평동, 황실타운)",월평3동,,2024-10-25
14,제과점영업,파리바게뜨둔산둥지점,대전광역시 서구 둔산동 912 ,"대전광역시 서구 청사로 254, 1층 103,104호 (둔산동, 둥지@상가)",둔산1동,,2024-10-25
15,제과점영업,파리바게뜨만년점,대전광역시 서구 만년동 1-2 강변아파트 ,"대전광역시 서구 만년로 25, 상가동 1층 105,106호 (만년동, 강변아파트)",만년동,,2024-10-25
16,제과점영업,파리바게뜨 내동롯데점,대전광역시 서구 내동 220-11 더리치빌 아파트 ,"대전광역시 서구 신갈마로 51, 104동 지하2층 B210호 (내동, 더리치빌 아파트)",내동, 042- 384-0042,2024-10-25
17,제과점영업,파리바게뜨가수원점,대전광역시 서구 가수원동 1392 모아드림아파트 ,"대전광역시 서구 가수원로 83, 상가동 지하1층 107호 (가수원동, 모아드림아파트)",가수원동,,2024-10-25
18,제과점영업,성심당 롯데대전점1,대전광역시 서구 괴정동 423-1 롯데백화점 ,"대전광역시 서구 계룡로 598, 롯데백화점 1층 일부 (괴정동)",괴정동,,2024-10-25
19,제과점영업,파리바게트 둔산3동점,대전광역시 서구 둔산동 1819 ,대전광역시 서구 둔산로 212 (둔산동),둔산3동, 042- 482-8290,2024-10-25
20,제과점영업,파리바게뜨 대전관저점,대전광역시 서구 관저동 1008 리틀파우존 1층 5호 ,"대전광역시 서구 관저중로 98, 1층 4,5,16,17,18호 (관저동)",관저1동,,2024-10-25
21,제과점영업,(주)신세계푸드 블랑제리둔산점,대전광역시 서구 둔산동 959-2 1층 ,"대전광역시 서구 둔산북로 41, 1층 (둔산동)",둔산2동,,2024-10-25
22,제과점영업,경성베이커리,대전광역시 서구 갈마동 1418 경성쇼핑센타2층 ,"대전광역시 서구 대덕대로 150 (갈마동,경성쇼핑센타2층)",갈마2동,,2024-10-25
23,제과점영업,파리바게뜨경성갈마점,대전광역시 서구 갈마동 1418 경성코아 205호 ,"대전광역시 서구 대덕대로 150 (갈마동,경성코아 205호)",갈마2동,,2024-10-25
24,제과점영업,파리바게뜨탄방점,대전광역시 서구 탄방동 1026 ,대전광역시 서구 문정로 134 (탄방동),탄방동,,2024-10-25
25,제과점영업,파리바게뜨가장점,대전광역시 서구 가장동 61-19 (1층) ,"대전광역시 서구 가장로 100 (가장동,(1층))",가장동,,2024-10-25
26,제과점영업,브레드하우스빵쟁이,대전광역시 서구 갈마동 261-14 1층 ,대전광역시 서구 계룡로 353 (갈마동),갈마1동,042 -320 -9725,2024-10-25
