업소명,소재지(도로명),소재지전화
파리바게뜨대전부사점,대전광역시 중구 대종로 301 (부사동),042-257-0407
케익하우스시온,대전광역시 중구 보문로 36-2 (문창동),042-284-0156
극동제과점,대전광역시 중구 충무로 73 (대사동),042-226-6796
빵담아,"대전광역시 중구 태평로 71, 지하1층 109,110호 (태평동, 뉴삼부프라자)",042-522-5385
파리바게뜨대전은행점,"대전광역시 중구 중앙로 135, 1층 (선화동)",042-222-0451
이봉구케잌과자점,대전광역시 중구 계백로1615번길 37 (유천동),042-524-5487
로삐아노,"대전광역시 중구 보문산로215번길 81 (문화동,(1층))",042-584-5740
파리바게뜨삼성점,대전광역시 중구 계룡로874번길 59 (오류동),042-523-5850
뚜레쥬르태평점,"대전광역시 중구 평촌로 111, 상가1 401동 117호 (태평동, 태평아파트)",042-535-6379
뚜레쥬르버드내점,"대전광역시 중구 태평로 15 (태평동,.423-20 버드내마을아파트 주상가동 108호)",042-536-2976
정인구팥빵,"대전광역시 중구 계백로 1619 (유천동, 10-12,188-11(벽산프라자101호))",042-523-1579
두건호텔리어,"대전광역시 중구 평촌로105번길 58 (태평동,(1층))",042-524-7454
파리바게트대전문화점,"대전광역시 중구 당디로6번길 70 (문화동,(1층))",042-584-0453
떡보의하루오류점,"대전광역시 중구 동서대로 1365, 1층 (목동)",042-532-8262
뚜레쥬르버드내점2,"대전광역시 중구 태평로 15 (태평동,.423-20 버드내마을아파트 주상가동 206호)",042-536-2976
뚜레쥬르대전중촌점,"대전광역시 중구 목중로 24, 1층 (중촌동)",042-221-7979
몽블랑제문화점,"대전광역시 중구 계백로 1690 (문화동,(지하1층))",
프라임베이커리교보점,대전광역시 중구 중앙로 72 (대흥동),042-221-4114
파리바게뜨(대전산성),대전광역시 중구 대둔산로 389-1 (산성동),042-582-8204
파리바게뜨서대전점,"대전광역시 중구 서문로105번길 4, 1층 (문화동)",042-587-0082
파리바게뜨대전버드내점,"대전광역시 중구 태평로 14 (유천동,(1층))",042-538-0453
파리바게트태평점,"대전광역시 중구 평촌로 108, 1층 (유천동)",042-535-0453
몽블랑제유천점,"대전광역시 중구 평촌로 58 (유천동,(1층))",042-528-8543
뚜레쥬르충남대학교병원점,"대전광역시 중구 문화로 282, 충남대학교병원 주2 1층 (대사동)",042-280-8841
파리바게트용두선화점,"대전광역시 중구 중앙로 23-17, 1층 104,105호 (용두동)",042-252-2046
파리바게뜨대전중촌일호,"대전광역시 중구 목중로 11-1 (목동,(1층))",042-253-0484
몽블랑제문화점행사매대,"대전광역시 중구 계백로 1690 (문화동,홈플러스테스코(주)문화점(지하1층))",
파리바게뜨센트럴문화점,"대전광역시 중구 계룡로918번길 24 (문화동,(1층))",042-226-6063
이바돔제과점,"대전광역시 중구 대종로 61, 1층 (옥계동)",042-286-7088
코스트코홀세일베이커리,"대전광역시 중구 오류로 41, 지하2층 (오류동)",
성심당케익부띠끄,"대전광역시 중구 대종로 480, 1층 (은행동)",042-284-4114
건강한빵,"대전광역시 중구 중앙로 23-12, B동 1층 (선화동)",042-221-2271
케익하우스앨리카페,"대전광역시 중구 목동로 42, 106~107호 (목동, 목동복합빌딩)",042-286-1300
알레스구떼베이커리유천점,"대전광역시 중구 당디로 111, 1층 (유천동)",
파리바게뜨목동점,대전광역시 중구 목동로 60 (목동),042-252-8204
라이스디어,"대전광역시 중구 동서대로 1375-7, 1층 (목동)",
뚜레쥬르하나로클럽대전점,"대전광역시 중구 대둔산로199번길 43, 1층 (안영동)",
달달빵집,"대전광역시 중구 동서대로 1388, 108,109호 (목동, 금호한사랑아파트상가동)",042-223-3898
알레스구떼베이커리석교점,"대전광역시 중구 대종로 213, 1층 (석교동)",042-266-9133
성심당옛맛솜씨,"대전광역시 중구 대종로480번길 16, 1층 (은행동)",
늘솜베이커리,"대전광역시 중구 보문산로 66-1, 1층 (산성동)",
나래장애인보호작업장,"대전광역시 중구 대종로 411, 1층 (대흥동)",042-635-9088
파리바게트삼부프라자점,"대전광역시 중구 태평로 71, 101,102호 (태평동, 뉴삼부프라자)",042-532-9987
밀그램,"대전광역시 중구 계룡로918번길 32, 1층 (문화동)",042-226-4678
주주케이크본점,"대전광역시 중구 유천로132번길 55, 1층 (태평동)",042-535-5822
뚜레쥬르태평점2,"대전광역시 중구 평촌로 111, 상가1 401동 104,105호 (태평동, 태평아파트)",042-535-6379
뚜레쥬르이츠마트석교점,"대전광역시 중구 대종로224번길 28, 1층 (석교동)",042-273-3105
신라방,"대전광역시 중구 목중로 19, 1층 (목동)",042-254-1508
정직한롤케이크,"대전광역시 중구 용두로 5-1, 1층 (용두동)",
썬베이크,"대전광역시 중구 동서대로1421번길 13, 1층 (중촌동)",
뮤제,"대전광역시 중구 대흥로121번길 44, 1층 (대흥동)",
당신의하루,"대전광역시 중구 오류로74번길 36, 1층 (오류동)",042-487-3851
에이블랑(a blanc),"대전광역시 중구 수침로55번길 15, 두손빌딩 2층 (태평동)",
세이비건,"대전광역시 중구 대종로 585, 1층 (선화동)",042-825-2523
